GEOID,area,tract,total_pop,hh_total,median_hh_income,income_bracket,income_gini
6073021500,Census Tract 215,21500,9324.0,9324.0,191642.0,$150k–$200k,0.4193
6073008313,Census Tract 83.13,8313,2162.0,2162.0,183929.0,$150k–$200k,0.4888
6073008310,Census Tract 83.10,8310,6212.0,6212.0,173549.0,$150k–$200k,0.4947
6073017107,Census Tract 171.07,17107,2976.0,2976.0,169821.0,$150k–$200k,0.3329
6073008328,Census Tract 83.28,8328,6663.0,6663.0,167689.0,$150k–$200k,0.4088
6073008311,Census Tract 83.11,8311,3138.0,3138.0,164653.0,$150k–$200k,0.5021
6073008331,Census Tract 83.31,8331,2421.0,2421.0,164250.0,$150k–$200k,0.3337
6073008366,Census Tract 83.66,8366,7061.0,7061.0,155877.0,$150k–$200k,0.3472
6073017303,Census Tract 173.03,17303,3009.0,3009.0,155350.0,$150k–$200k,0.4737
6073008335,Census Tract 83.35,8335,9938.0,9938.0,155106.0,$150k–$200k,0.3622
6073002001,Census Tract 20.01,2001,3417.0,3417.0,151797.0,$150k–$200k,0.3995
6073017029,Census Tract 170.29,17029,9149.0,9149.0,151267.0,$150k–$200k,0.5032
6073008346,Census Tract 83.46,8346,5020.0,5020.0,150405.0,$150k–$200k,0.3156
6073017045,Census Tract 170.45,17045,2753.0,2753.0,150391.0,$150k–$200k,0.3727
6073008365,Census Tract 83.65,8365,3152.0,3152.0,149063.0,$100k–$150k,0.3066
6073008333,Census Tract 83.33,8333,15695.0,15695.0,148889.0,$100k–$150k,0.4488
6073021303,Census Tract 213.03,21303,9497.0,9497.0,148261.0,$100k–$150k,0.3775
6073011300,Census Tract 113,11300,2893.0,2893.0,146250.0,$100k–$150k,0.283
6073017053,Census Tract 170.53,17053,3217.0,3217.0,145052.0,$100k–$150k,0.4861
6073008303,Census Tract 83.03,8303,3618.0,3618.0,144792.0,$100k–$150k,0.528
6073020016,Census Tract 200.16,20016,9600.0,9600.0,143836.0,$100k–$150k,0.398
6073008337,Census Tract 83.37,8337,4303.0,4303.0,143547.0,$100k–$150k,0.3487
6073017808,Census Tract 178.08,17808,6283.0,6283.0,142431.0,$100k–$150k,0.4093
6073017033,Census Tract 170.33,17033,4800.0,4800.0,141713.0,$100k–$150k,0.3459
6073017044,Census Tract 170.44,17044,5710.0,5710.0,141595.0,$100k–$150k,0.3257
6073009504,Census Tract 95.04,9504,6621.0,6621.0,139938.0,$100k–$150k,0.447
6073017030,Census Tract 170.30,17030,21927.0,21927.0,139770.0,$100k–$150k,0.4377
6073008330,Census Tract 83.30,8330,5911.0,5911.0,138077.0,$100k–$150k,0.3886
6073017047,Census Tract 170.47,17047,4003.0,4003.0,136728.0,$100k–$150k,0.3781
6073008336,Census Tract 83.36,8336,2215.0,2215.0,136458.0,$100k–$150k,0.3009
6073008102,Census Tract 81.02,8102,3603.0,3603.0,136067.0,$100k–$150k,0.5048
6073017109,Census Tract 171.09,17109,6787.0,6787.0,135526.0,$100k–$150k,0.4327
6073008327,Census Tract 83.27,8327,6196.0,6196.0,135389.0,$100k–$150k,0.4318
6073017020,Census Tract 170.20,17020,3488.0,3488.0,134792.0,$100k–$150k,0.4418
6073008324,Census Tract 83.24,8324,7196.0,7196.0,134099.0,$100k–$150k,0.4655
6073017021,Census Tract 170.21,17021,2955.0,2955.0,133000.0,$100k–$150k,0.3837
6073007002,Census Tract 70.02,7002,2982.0,2982.0,133000.0,$100k–$150k,0.3415
6073000100,Census Tract 1,100,2863.0,2863.0,131607.0,$100k–$150k,0.5436
6073015406,Census Tract 154.06,15406,2606.0,2606.0,131071.0,$100k–$150k,0.4155
6073017110,Census Tract 171.10,17110,11815.0,11815.0,129920.0,$100k–$150k,0.5052
6073017006,Census Tract 170.06,17006,2928.0,2928.0,129125.0,$100k–$150k,0.418
6073017108,Census Tract 171.08,17108,4829.0,4829.0,128000.0,$100k–$150k,0.3607
6073017042,Census Tract 170.42,17042,7921.0,7921.0,127841.0,$100k–$150k,0.3678
6073008306,Census Tract 83.06,8306,3226.0,3226.0,127778.0,$100k–$150k,0.3635
6073008312,Census Tract 83.12,8312,3872.0,3872.0,126970.0,$100k–$150k,0.5763
6073017032,Census Tract 170.32,17032,14919.0,14919.0,126696.0,$100k–$150k,0.4225
6073013410,Census Tract 134.10,13410,8449.0,8449.0,125988.0,$100k–$150k,0.3602
6073013417,Census Tract 134.17,13417,2206.0,2206.0,125859.0,$100k–$150k,0.324
6073017046,Census Tract 170.46,17046,3807.0,3807.0,125368.0,$100k–$150k,0.4199
6073007302,Census Tract 73.02,7302,2127.0,2127.0,123750.0,$100k–$150k,0.4228
6073007200,Census Tract 72,7200,6092.0,6092.0,123603.0,$100k–$150k,0.4479
6073017034,Census Tract 170.34,17034,5231.0,5231.0,123380.0,$100k–$150k,0.2893
6073020405,Census Tract 204.05,20405,3249.0,3249.0,123229.0,$100k–$150k,0.3654
6073017043,Census Tract 170.43,17043,6442.0,6442.0,122568.0,$100k–$150k,0.3906
6073017200,Census Tract 172,17200,4338.0,4338.0,122563.0,$100k–$150k,0.5662
6073021800,Census Tract 218,21800,2330.0,2330.0,121563.0,$100k–$150k,0.5074
6073020710,Census Tract 207.10,20710,1600.0,1600.0,121250.0,$100k–$150k,0.448
6073010601,Census Tract 106.01,10601,2307.0,2307.0,121034.0,$100k–$150k,0.4692
6073017054,Census Tract 170.54,17054,5701.0,5701.0,119545.0,$100k–$150k,0.4708
6073009505,Census Tract 95.05,9505,7477.0,7477.0,118750.0,$100k–$150k,0.3707
6073020013,Census Tract 200.13,20013,13670.0,13670.0,118333.0,$100k–$150k,0.4244
6073017055,Census Tract 170.55,17055,5256.0,5256.0,117361.0,$100k–$150k,0.3896
6073021304,Census Tract 213.04,21304,2508.0,2508.0,116786.0,$100k–$150k,0.332
6073017010,Census Tract 170.10,17010,3266.0,3266.0,116643.0,$100k–$150k,0.3318
6073015602,Census Tract 156.02,15602,2267.0,2267.0,116125.0,$100k–$150k,0.3608
6073020401,Census Tract 204.01,20401,2312.0,2312.0,115972.0,$100k–$150k,0.4536
6073020706,Census Tract 207.06,20706,6429.0,6429.0,114497.0,$100k–$150k,0.4744
6073017401,Census Tract 174.01,17401,5860.0,5860.0,114479.0,$100k–$150k,0.4983
6073007100,Census Tract 71,7100,4665.0,4665.0,114458.0,$100k–$150k,0.5067
6073017306,Census Tract 173.06,17306,2723.0,2723.0,114063.0,$100k–$150k,0.5315
6073008344,Census Tract 83.44,8344,3560.0,3560.0,113790.0,$100k–$150k,0.3416
